County,State,Date,cumulative_cases,New.cases,Pop_Vacs,Pop_Vacs_Pct,svi,ses,hhc,rems,htt
Amador County,CA,11/30/2022,11078,18,23621,59.4,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,12/07/2022,11124,46,23643,59.5,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,12/14/2022,11164,40,23665,59.5,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,12/21/2022,11225,61,23668,59.5,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,12/28/2022,11273,48,23686,59.6,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,01/04/2023,11300,27,23689,59.6,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,01/11/2023,11346,46,23691,59.6,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,01/18/2023,11362,16,23748,59.7,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,01/25/2023,11405,43,23755,59.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,02/01/2023,11432,27,23763,59.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,02/08/2023,11462,30,23754,59.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,02/15/2023,11489,27,23759,59.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,02/22/2023,11506,17,23765,59.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,03/01/2023,11540,34,23767,59.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,03/08/2023,11553,13,23770,59.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,03/15/2023,11576,23,23774,59.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,03/22/2023,11584,8,23775,59.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,03/29/2023,11597,13,23781,59.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,04/05/2023,11609,12,23783,59.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,04/12/2023,11634,25,23783,59.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,04/19/2023,11674,40,23787,59.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,04/26/2023,11688,14,23788,59.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,05/03/2023,11695,7,23792,59.9,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,05/10/2023,11705,10,23795,59.9,0.2281,0.193,0.1579,0.1754,0.6667
Contra Costa County,CA,01/22/2020,0,0,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,01/29/2020,0,0,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,02/05/2020,0,0,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,02/12/2020,0,0,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,02/19/2020,0,0,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,02/26/2020,0,0,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,03/04/2020,1,1,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,03/11/2020,16,15,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,03/18/2020,44,28,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,03/25/2020,131,87,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,04/01/2020,246,115,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,04/08/2020,471,225,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,04/15/2020,617,146,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,04/22/2020,766,149,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,04/29/2020,866,100,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,05/06/2020,976,110,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,05/13/2020,1068,92,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,05/20/2020,1206,138,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,05/27/2020,1353,147,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,06/03/2020,1506,153,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,06/10/2020,1746,240,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,06/17/2020,1973,227,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,06/24/2020,2456,483,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,07/01/2020,3145,689,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,07/08/2020,4138,993,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,07/15/2020,5124,986,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,07/22/2020,6234,1110,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,07/29/2020,7452,1218,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,08/05/2020,8242,790,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,08/12/2020,10049,1807,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,08/19/2020,11730,1681,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,08/26/2020,13230,1500,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,09/02/2020,14054,824,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,09/09/2020,14810,756,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,09/16/2020,15502,692,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,09/23/2020,16171,669,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,09/30/2020,16799,628,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,10/07/2020,17383,584,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,10/14/2020,17874,491,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,10/21/2020,18340,466,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,10/28/2020,18862,522,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,11/04/2020,19516,654,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,11/11/2020,20437,921,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,11/18/2020,21687,1250,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,11/25/2020,23230,1543,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,12/02/2020,24979,1749,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,12/09/2020,28183,3204,NA,NA,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,12/16/2020,31749,3566,0,0,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,12/23/2020,36157,4408,0,0,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,12/30/2020,39833,3676,0,0,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,01/06/2021,44187,4354,0,0,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,01/13/2021,49078,4891,27636,2.4,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,01/20/2021,53636,4558,45680,4,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,01/27/2021,56310,2674,80314,7,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,02/03/2021,58552,2242,110799,9.6,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,02/10/2021,60343,1791,141767,12.3,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,02/17/2021,61626,1283,172217,14.9,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,02/24/2021,62693,1067,201124,17.4,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,03/03/2021,63649,956,228412,19.8,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,03/10/2021,64424,775,253973,22,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,03/17/2021,65071,647,295349,25.6,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,03/24/2021,65626,555,344718,29.9,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,03/31/2021,66192,566,401743,34.8,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,04/07/2021,66739,547,467030,40.5,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,04/14/2021,67485,746,526869,45.7,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,04/21/2021,68097,612,587432,50.9,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,04/28/2021,68697,600,619514,53.7,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,05/05/2021,69179,482,639904,55.5,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,05/12/2021,69671,492,657242,57,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,05/19/2021,70029,358,678749,58.8,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,05/26/2021,70457,428,702882,60.9,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,06/02/2021,70707,250,715317,62,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,06/09/2021,71078,371,728335,63.1,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,06/16/2021,71428,350,738987,64.1,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,06/23/2021,71818,390,748146,64.9,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,06/30/2021,72152,334,758135,65.7,0.1754,0.1228,0.4912,0.6316,0.1228
